proteinA,Gene_Symbol,proteinB,Accession
P31689,DNAJA1,SARS-CoV-2_N,P0DTC9
P08246,ELANE,SARS-CoV-2_N,P0DTC9
P10144,GZMB,SARS-CoV-2_N,P0DTC9
P63244,RACK1,SARS-CoV-2_N,P0DTC9
P25685,DNAJB1,SARS-CoV-2_N,P0DTC9
Q6P2E9,EDC4,SARS-CoV-2_N,P0DTC9
O60271,SPAG9,SARS-CoV-2_N,P0DTC9
Q05086,UBE3A,SARS-CoV-2_N,P0DTC9
P42694,HELZ,SARS-CoV-2_N,P0DTC9
Q9UBS4,DNAJB11,SARS-CoV-2_N,P0DTC9
Q96B97,SH3KBP1,SARS-CoV-2_N,P0DTC9
P29320,EPHA3,SARS-CoV-2_N,P0DTC9
Q9NYL2,MAP3K20,SARS-CoV-2_N,P0DTC9
O95905,ECD,SARS-CoV-2_N,P0DTC9
P15822,HIVEP1,SARS-CoV-2_N,P0DTC9
Q9UDY4,DNAJB4,SARS-CoV-2_N,P0DTC9
O95273,CCNDBP1,SARS-CoV-2_N,P0DTC9
O43166,SIPA1L1,SARS-CoV-2_N,P0DTC9
Q6FHJ7,SFRP4,SARS-CoV-2_N,P0DTC9
Q12802,AKAP13,SARS-CoV-2_N,P0DTC9
P22897,MRC1,SARS-CoV-2_N,P0DTC9
Q96NG5,ZNF558,SARS-CoV-2_N,P0DTC9
Q6ZN19,ZNF841,SARS-CoV-2_N,P0DTC9
Q9UI25,PRO0461,SARS-CoV-2_N,P0DTC9
Q86XN6,ZNF761,SARS-CoV-2_N,P0DTC9
Q08ER8,ZNF543,SARS-CoV-2_N,P0DTC9
Q9GZX5,ZNF350,SARS-CoV-2_N,P0DTC9
Q9GZP7,VN1R1,SARS-CoV-2_N,P0DTC9
Q3MJ13,WDR72,SARS-CoV-2_N,P0DTC9
Q9NY84,VNN3,SARS-CoV-2_N,P0DTC9
B1APH4,ZNF487,SARS-CoV-2_N,P0DTC9
Q9HBT8,ZNF286A,SARS-CoV-2_N,P0DTC9
Q96E35,ZMYND19,SARS-CoV-2_N,P0DTC9
Q9BZH6,WDR11,SARS-CoV-2_N,P0DTC9
Q9BRH9,ZNF251,SARS-CoV-2_N,P0DTC9
Q7Z3T8,ZFYVE16,SARS-CoV-2_N,P0DTC9
Q96DA0,ZG16B,SARS-CoV-2_N,P0DTC9
Q9UI54,PRO0628,SARS-CoV-2_N,P0DTC9
Q8IYP9,ZDHHC23,SARS-CoV-2_N,P0DTC9
Q68DK2,ZFYVE26,SARS-CoV-2_N,P0DTC9
Q9UFB7,ZBTB47,SARS-CoV-2_N,P0DTC9
O15062,ZBTB5,SARS-CoV-2_N,P0DTC9
Q9C0B5,ZDHHC5,SARS-CoV-2_N,P0DTC9
Q32M78,ZNF699,SARS-CoV-2_N,P0DTC9
Q5VIY5,ZNF468,SARS-CoV-2_N,P0DTC9
Q9NTW7,ZFP64,SARS-CoV-2_N,P0DTC9
Q3ZCX4,ZNF568,SARS-CoV-2_N,P0DTC9
Q99536,VAT1,SARS-CoV-2_N,P0DTC9
Q5BKZ1,ZNF326,SARS-CoV-2_N,P0DTC9
Q9H0M5,ZNF700,SARS-CoV-2_N,P0DTC9
Q02386,ZNF45,SARS-CoV-2_N,P0DTC9
P17031,ZNF26,SARS-CoV-2_N,P0DTC9
Q96MX3,ZNF48,SARS-CoV-2_N,P0DTC9
Q96K83,ZNF521,SARS-CoV-2_N,P0DTC9
A8MVS1,ZNF705F,SARS-CoV-2_N,P0DTC9
P17035,ZNF28,SARS-CoV-2_N,P0DTC9
O00488,ZNF593,SARS-CoV-2_N,P0DTC9
P58317,ZNF121,SARS-CoV-2_N,P0DTC9
Q96MR9,ZNF560,SARS-CoV-2_N,P0DTC9
Q3KQV3,ZNF792,SARS-CoV-2_N,P0DTC9
Q8N184,ZNF567,SARS-CoV-2_N,P0DTC9
Q9ULM3,YEATS2,SARS-CoV-2_N,P0DTC9
Q9NXF8,ZDHHC7,SARS-CoV-2_N,P0DTC9
Q8WTX9,ZDHHC1,SARS-CoV-2_N,P0DTC9
Q8NB50,ZFP62,SARS-CoV-2_N,P0DTC9
O15156,ZBTB7B,SARS-CoV-2_N,P0DTC9
Q15697,ZNF174,SARS-CoV-2_N,P0DTC9
O15209,ZBTB22,SARS-CoV-2_N,P0DTC9
O60315,ZEB2,SARS-CoV-2_N,P0DTC9
Q96C55,ZNF524,SARS-CoV-2_N,P0DTC9
Q96JG9,ZNF469,SARS-CoV-2_N,P0DTC9
Q9H7M9,VSIR,SARS-CoV-2_N,P0DTC9
Q7Z5K2,WAPL,SARS-CoV-2_N,P0DTC9
Q6UXN9,WDR82,SARS-CoV-2_N,P0DTC9
Q6RFH5,WDR74,SARS-CoV-2_N,P0DTC9
O14980,XPO1,SARS-CoV-2_N,P0DTC9
Q96EC8,YIPF6,SARS-CoV-2_N,P0DTC9
Q5D1E8,ZC3H12A,SARS-CoV-2_N,P0DTC9
Q9UJW7,ZNF229,SARS-CoV-2_N,P0DTC9
O75820,ZNF189,SARS-CoV-2_N,P0DTC9
Q99676,ZNF184,SARS-CoV-2_N,P0DTC9
Q15776,ZKSCAN8,SARS-CoV-2_N,P0DTC9
Q8TBZ8,ZNF564,SARS-CoV-2_N,P0DTC9
O60304,ZNF500,SARS-CoV-2_N,P0DTC9
Q8N8E2,ZNF513,SARS-CoV-2_N,P0DTC9
Q92610,ZNF592,SARS-CoV-2_N,P0DTC9
O15014,ZNF609,SARS-CoV-2_N,P0DTC9
Q9UM01,SLC7A7,SARS-CoV-2_N,P0DTC9
Q07157,TJP1,SARS-CoV-2_N,P0DTC9
O43309,ZSCAN12,SARS-CoV-2_N,P0DTC9
Q6NSZ9,ZSCAN25,SARS-CoV-2_N,P0DTC9
Q9UHR6,ZNHIT2,SARS-CoV-2_N,P0DTC9
Q86W11,ZSCAN30,SARS-CoV-2_N,P0DTC9
Q9Y5A6,ZSCAN21,SARS-CoV-2_N,P0DTC9
Q9P2E3,ZNFX1,SARS-CoV-2_N,P0DTC9
A0A0U1RRA0,ZNF593OS,SARS-CoV-2_N,P0DTC9
O14863,SLC30A4,SARS-CoV-2_N,P0DTC9
Q9NX65,ZSCAN32,SARS-CoV-2_N,P0DTC9
Q6PML9,SLC30A9,SARS-CoV-2_N,P0DTC9
P0CG00,ZSCAN5DP,SARS-CoV-2_N,P0DTC9
B4DU55,ZNF879,SARS-CoV-2_N,P0DTC9
Q8NCK3,ZNF485,SARS-CoV-2_N,P0DTC9
Q2M1K9,ZNF423,SARS-CoV-2_N,P0DTC9
Q5T5D7,ZNF684,SARS-CoV-2_N,P0DTC9
Q9NQZ8,ZNF71,SARS-CoV-2_N,P0DTC9
Q96F44,TRIM11,SARS-CoV-2_N,P0DTC9
Q8TBZ6,TRMT10A,SARS-CoV-2_N,P0DTC9
Q9Y5R8,TRAPPC1,SARS-CoV-2_N,P0DTC9
Q9UL52,TMPRSS11E,SARS-CoV-2_N,P0DTC9
Q99973,TEP1,SARS-CoV-2_N,P0DTC9
Q6UX40,TMEM107,SARS-CoV-2_N,P0DTC9
P67936,TPM4,SARS-CoV-2_N,P0DTC9
Q9BSN7,TMEM204,SARS-CoV-2_N,P0DTC9
Q7L0Y3,TRMT10C,SARS-CoV-2_N,P0DTC9
Q9BTD3,TMEM121,SARS-CoV-2_N,P0DTC9
P16035,TIMP2,SARS-CoV-2_N,P0DTC9
Q9Y5S1,TRPV2,SARS-CoV-2_N,P0DTC9
